sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample10-20rpm-60kx-13,-1.629187e-03,-1.748386e+00,5.902320e+00,-8.739327e-05,1.449195e-03,3.672678e-03,1.630227e-02,1.336340e-03,9.795853e-01,39,9.764446e-01,5.853642e-03
sample10-20rpm-60kx-1,-1.194324e-04,-3.129659e-01,-3.610833e+00,-8.552970e-05,1.407782e-03,3.690257e-03,1.590232e-02,1.414803e-03,9.774292e-01,39,9.739567e-01,6.023039e-03
sample10-20rpm-60kx-2,-2.888694e-03,-1.109569e+00,9.515070e+00,-9.006745e-05,1.513335e-03,3.110824e-03,1.594073e-02,1.199663e-03,9.806800e-01,39,9.777076e-01,5.546222e-03
sample10-20rpm-60kx-3,7.361345e-03,6.440116e-01,1.588312e+00,-9.225380e-05,1.557408e-03,3.027117e-03,1.602297e-02,1.601189e-04,9.974927e-01,39,9.971069e-01,2.026231e-03
sample10-20rpm-60kx-4,-1.512296e-03,-1.754016e+00,5.962099e+00,-8.633214e-05,1.431637e-03,3.567471e-03,1.628944e-02,1.275841e-03,9.797077e-01,39,9.765858e-01,5.719603e-03
sample10-20rpm-60kx-5,2.068847e-04,-2.762837e-01,-7.140795e-02,-7.683647e-05,1.306303e-03,3.517528e-03,1.735899e-02,1.474115e-03,9.763563e-01,39,9.727188e-01,6.147994e-03
sample10-20rpm-60kx-7,2.032800e-03,-1.418255e+00,4.567564e+00,-8.375606e-05,1.391936e-03,3.504030e-03,1.625684e-02,1.220566e-03,9.797812e-01,39,9.766706e-01,5.594332e-03
sample10-20rpm-60kx-9,2.059307e-03,-1.429455e+00,4.654634e+00,-8.422115e-05,1.401284e-03,3.568635e-03,1.643515e-02,1.217904e-03,9.803505e-01,39,9.773275e-01,5.588230e-03
sample11-100rpm-60kx-10,1.337001e-03,-1.986374e+00,1.414997e+01,-9.639238e-05,1.592996e-03,2.973296e-03,1.493764e-02,1.500125e-03,9.756969e-01,39,9.719580e-01,6.201994e-03
sample11-100rpm-60kx-11,9.456758e-04,-2.461067e+00,1.748458e+01,-9.386742e-05,1.547920e-03,3.027745e-03,1.500885e-02,1.456407e-03,9.755958e-01,39,9.718413e-01,6.110954e-03
sample11-100rpm-60kx-13,1.818842e-03,-1.767293e+00,1.523117e+01,-9.637366e-05,1.602543e-03,2.926975e-03,1.507394e-02,1.474110e-03,9.763955e-01,39,9.727640e-01,6.147984e-03
