sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample9-195rpm-60kx-6,3.463444e-08,-1.238417e-06,7.543826e-06,-2.186304e-05,1.218995e-03,1.755726e-03,2.136338e-02,5.903730e-04,9.921976e-01,39,9.909972e-01,3.890729e-03
sample9-195rpm-60kx-7,3.277947e-08,-1.203700e-06,7.613165e-06,-2.689599e-05,1.255288e-03,1.818799e-03,2.146151e-02,6.180988e-04,9.920811e-01,39,9.908628e-01,3.981041e-03
sample9-195rpm-60kx-8,4.960823e-08,-1.623638e-06,9.650591e-06,-6.385039e-06,1.058316e-03,1.699479e-03,2.130082e-02,5.152770e-04,9.927656e-01,39,9.916526e-01,3.634863e-03
sample9-20rpm-60kx-10,6.844854e-08,-2.104202e-06,1.222531e-05,1.375636e-05,8.480963e-04,1.594231e-03,2.114226e-02,4.366687e-04,9.932535e-01,39,9.922155e-01,3.346137e-03
sample9-20rpm-60kx-2,5.534075e-08,-1.777700e-06,1.069955e-05,-2.624368e-06,9.943752e-04,1.655882e-03,2.115504e-02,5.077159e-04,9.925903e-01,39,9.914504e-01,3.608096e-03
sample9-20rpm-60kx-5,5.206907e-08,-1.664284e-06,9.289680e-06,2.607691e-06,1.021883e-03,1.680844e-03,2.143152e-02,4.643258e-04,9.934523e-01,39,9.924449e-01,3.450477e-03
sample9-20rpm-60kx-6,6.723412e-08,-2.095811e-06,1.277347e-05,5.921823e-06,8.710031e-04,1.604562e-03,2.099304e-02,4.809030e-04,9.925691e-01,39,9.914259e-01,3.511530e-03
sample9-20rpm-60kx-7,5.944551e-08,-1.879602e-06,1.119809e-05,2.352815e-06,9.440726e-04,1.617655e-03,2.108177e-02,4.861673e-04,9.926972e-01,39,9.915737e-01,3.530698e-03
sample9-20rpm-60kx-9,5.788351e-08,-1.883691e-06,1.230547e-05,-1.161512e-05,9.910413e-04,1.670593e-03,2.096201e-02,5.721566e-04,9.915907e-01,39,9.902970e-01,3.830233e-03
sample9-20rpm-60kx,5.656922e-08,-1.781241e-06,9.984985e-06,6.758002e-06,9.697876e-04,1.651807e-03,2.134144e-02,4.497403e-04,9.934756e-01,39,9.924719e-01,3.395851e-03
